Localidades de Pueblos Indigenas u Originarios - resultado de busqueda,,,,,,,
Nombre,Tipo de localidad de pueblos indigenas,Pueblo indigena,Departamento,Provincia,Distrito,Reconocimiento,Titulacion
Muwaim,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.S.R.S.  379-93-RENOM/DSRAG-J,R.D. 554-95-AG-DRA
Najaim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Najankus,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Najem,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Aramango,-,-
Najem,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Nanchik Entsa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D.  215-99-CTAR-A-DR-AG/D,R.D. 357-99-CTAR-A-DR-AG/D
Napints,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Napuruk,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  241-OAE-ORAMS-II-75,R.D. 2603-75-DGRA-AR
Nauta,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Nayap,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Nayumpin (o Nayumpik),Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  254-OAE-ORAMS-II-76,R.D. 4570-76-DGRA-AR
Nazareth,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Nazareth,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  307-OAE-ORAMS-II-75,R.D. 2643-75-DGRA-AR
Nueva Alianza,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Nueva Era,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Nueva Esperanza,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Nieva,-,-
Nueva Esperanza,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Nueva Isla,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Nueva Jerusalen,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Rio Santiago,R.S.R.S.  712-97-RENOM/DSRAG-J,R.S.R.S. 725-97-RENOM/DSRAG-J
Nueva Jerusalen,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Nueva Luz,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Nueva Luz,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Nueva Unida,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Nueva Vida,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  308-OAE-ORAMS-II-75,R.D. 2621-75-DGRA-AR
Nueva Vista (Tuutin),Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Nuevo Belen,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Nuevo Belen,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Nuevo Horizonte,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
